commit	full_hash	date	family	status	old_path	path	subject
cc072b7	cc072b725eb2c26276e913ce71216c2d89967dd2	2026-06-11T21:15:55-03:00	communication-memory-bytes	A	.	src/ant_byte_env/training/jax_mappo/warm_start.py	feat: add research workflow cli
cc072b7	cc072b725eb2c26276e913ce71216c2d89967dd2	2026-06-11T21:15:55-03:00	communication-memory-bytes	M	.	src/ant_byte_env/training/torch_mappo/cli.py	feat: add research workflow cli
cc072b7	cc072b725eb2c26276e913ce71216c2d89967dd2	2026-06-11T21:15:55-03:00	communication-memory-bytes	M	.	src/ant_byte_env/training/torch_mappo/runner.py	feat: add research workflow cli
cc072b7	cc072b725eb2c26276e913ce71216c2d89967dd2	2026-06-11T21:15:55-03:00	communication-memory-bytes	A	.	tests/test_research_workflow.py	feat: add research workflow cli
2e1aa07	2e1aa07a83d3c26c8b50b09406412930cbd0b532	2026-06-11T21:22:11-03:00	communication-memory-bytes	M	.	README.md	docs: curate research artifacts
2e1aa07	2e1aa07a83d3c26c8b50b09406412930cbd0b532	2026-06-11T21:22:11-03:00	communication-memory-bytes	M	.	experiments/communication_bits.json	docs: curate research artifacts
2e1aa07	2e1aa07a83d3c26c8b50b09406412930cbd0b532	2026-06-11T21:22:11-03:00	communication-memory-bytes	M	.	notebooks/train_jax_communication_curriculum.ipynb	docs: curate research artifacts
2e1aa07	2e1aa07a83d3c26c8b50b09406412930cbd0b532	2026-06-11T21:22:11-03:00	communication-memory-bytes	M	.	notebooks/train_mappo_curriculum.ipynb	docs: curate research artifacts
2e1aa07	2e1aa07a83d3c26c8b50b09406412930cbd0b532	2026-06-11T21:22:11-03:00	communication-memory-bytes	A	.	results/curated/README.md	docs: curate research artifacts
2e1aa07	2e1aa07a83d3c26c8b50b09406412930cbd0b532	2026-06-11T21:22:11-03:00	communication-memory-bytes	A	.	results/curated/index.json	docs: curate research artifacts
7fe745b	7fe745b91ffe34e90b40ee9d54b46a0716daa964	2026-06-11T21:27:52-03:00	communication-memory-bytes	M	.	src/ant_byte_env/training/jax_mappo/core.py	fix: load legacy jax checkpoints
