commit	full_hash	date	refs	family	subject	changed_file_count	change_statuses	changed_paths
43f0a9e	43f0a9e5e37fae246b7e976cf005e9241bc83f6e	2026-06-26T19:13:42-03:00	.	adversarial-roles-side-branches	docs: plan adversarial marl experiment	1	A	docs/planning/adversarial-marl-experiments.md
04a511c	04a511c0f9468630af67e04fe00a407c670c7c6e	2026-06-27T13:07:29-03:00	.	critic-full-layout-50x50	feat: add x200 six-source write cost experiment	1	A	experiments/exploration_to_forage_full_layout_8ants_half_food_50x50_shared_writes_write_cost_x200_6src.json
5e67bec	5e67bec2d87f049e4e2784c9fbb632a60f87c081	2026-06-27T16:22:45-03:00	.	critic-full-layout-50x50	feat: add x300 six-source write cost experiment	1	A	experiments/exploration_to_forage_full_layout_8ants_half_food_50x50_shared_writes_write_cost_x300_6src.json
6879fa4	6879fa4fc37f5e4307f6c33272840676eb697377	2026-06-28T14:56:53-03:00	feat/multi-device-jax-mappo	hundred-bridge-maze-stress	perf: skip nearest-open scan for empty arenas	2	M	src/ant_byte_env/maze.py;tests/test_maze.py
3c0eac2	3c0eac25b30b3ca02e1606d7828b40088e4c7f31	2026-06-28T16:19:53-03:00	train-half-scale-resnet	twofifty-frontier-reset	feat: add half-scale resnet training launch	8	A;M	experiments/half_scale_one_food_resnet_actor_warmstart_250x250.json;scripts/run_half_scale_resnet_actor_warmstart.py;src/ant_byte_env/training/jax_mappo/__init__.py;src/ant_byte_env/training/jax_mappo/cli.py;src/ant_byte_env/training/jax_mappo/core.py;src/ant_byte_env/training/jax_mappo/runner.py;src/ant_byte_env/training/jax_mappo/transfer.py;tests/test_train_mappo_jax.py
c3e0427	c3e04272f84456323f1cf33314a21ae9dbf92779	2026-06-28T21:44:27-03:00	.	adversarial-roles-side-branches	Add adversarial frozen-opponent MAPPO workflow	21	A;M	docs/experiments.md;experiments/adversarial_frozen_opponent_probe.json;experiments/adversarial_frozen_opponent_shared_writes_8ants.json;notebooks/README.md;notebooks/adversarial/frozen_opponent.ipynb;src/ant_byte_env/cli.py;src/ant_byte_env/training/jax_mappo/adversarial/__init__.py;src/ant_byte_env/training/jax_mappo/adversarial/actions.py;src/ant_byte_env/training/jax_mappo/adversarial/checkpointing.py;src/ant_byte_env/training/jax_mappo/adversarial/cli.py;src/ant_byte_env/training/jax_mappo/adversarial/env.py;src/ant_byte_env/training/jax_mappo/adversarial/evaluation.py;src/ant_byte_env/training/jax_mappo/adversarial/observations.py;src/ant_byte_env/training/jax_mappo/adversarial/rendering.py;src/ant_byte_env/training/jax_mappo/adversarial/rollout.py;src/ant_byte_env/training/jax_mappo/adversarial/runner.py;src/ant_byte_env/training/jax_mappo/adversarial/setup.py;src/ant_byte_env/training/jax_mappo/adversarial/transfer.py;src/ant_byte_env/training/jax_mappo/adversarial/types.py;tests/test_jax_adversarial_mappo.py;tests/test_notebook_layout.py
929d6ef	929d6ef7309bb837bcca57dd03a9333e57b1db7a	2026-06-28T21:53:40-03:00	.	adversarial-roles-side-branches	Reset adversarial notebook curriculum	1	M	notebooks/adversarial/frozen_opponent.ipynb
34d5fd6	34d5fd649dd20ce4a7bee261004615fd526e20d3	2026-06-28T22:15:23-03:00	.	adversarial-roles-side-branches	Fade adversarial hub center curriculum	1	M	notebooks/adversarial/frozen_opponent.ipynb
d9e224e	d9e224e018293c854f1d720194dfc8006605eda0	2026-06-28T22:37:46-03:00	.	adversarial-roles-side-branches	Add adversarial critic warmup notebook	4	M	notebooks/adversarial/frozen_opponent.ipynb;src/ant_byte_env/training/jax_mappo/adversarial/cli.py;src/ant_byte_env/training/jax_mappo/updates.py;tests/test_jax_adversarial_mappo.py
35ed12d	35ed12d3c19190466f39f36ecde372daee3d459f	2026-06-29T00:09:57-03:00	.	adversarial-roles-side-branches	Add adversarial eval-gated anchor training	12	A;M	notebooks/adversarial/capability_audit.ipynb;notebooks/adversarial/frozen_opponent.ipynb;src/ant_byte_env/training/jax_mappo/__init__.py;src/ant_byte_env/training/jax_mappo/adversarial/checkpointing.py;src/ant_byte_env/training/jax_mappo/adversarial/cli.py;src/ant_byte_env/training/jax_mappo/adversarial/runner.py;src/ant_byte_env/training/jax_mappo/checkpointing.py;src/ant_byte_env/training/jax_mappo/runner.py;src/ant_byte_env/training/jax_mappo/types.py;src/ant_byte_env/training/jax_mappo/updates.py;tests/test_jax_adversarial_mappo.py;tests/test_notebook_layout.py
